Product Id,Price
965721993,Out of Stock
47930394,6.38
47064335,4.93
755788404,3.88
193365219,3.88
20683208,2.94
25847548,Product Not Found
37447687,2.48
38498811,4.24
332255231,3.94
46854898,2.98
25847557,2.22
10308082,2.78
10453061,2.94
25847552,2.22
10308119,2.94
10308155,4.86
303240454,4.98
47714459,Out of Stock
22109596,Out of Stock
29873529,4.48
22109594,1.53
10293728,2.98
23591299,2.98
11047312,2.98
153406428,4.42
10900064,2.98
10900064,2.98
10293726,2.98
20435327,2.98
10293727,2.98
10293724,2.98
10804559,2.98
10293725,2.98
20435329,2.98
20435326,2.98
23554726,2.98
23591298,2.98
45735880,8.56
1115503,7.52
1115500,7.52
1115501,7.52
1115502,9.47
10308412,1.5
10849619,8.96
428898767,5.54
863445026,0.98
411811249,6.93
47432388,6.93
47432368,12.94
47445646,6.93
47432382,12.94
47432522,Out of Stock
47445646,6.93
182691491,14.97
387867359,9.97
45617957,Out of Stock
45617959,9.94
45652559,9.94
178461646,13.48
36214114,3.88
21268881,1
21268882,1
49223968,1
20469607,1
21268883,1
21268884,1
44391240,1
20469606,1
24389332,1
44391331,1
24389337,1
41578529,9.98
16785033,4.98
23597988,10.98
10535117,3.44
10535132,4.33
44883263,1.86
876052673,4.98
10309035,1.86
39218667,3.34
10308078,2.44
46861994,8.98
10449285,4.98
15754619,3.12
44981960,3.18
10535029,2.48
10535128,3.86
44981961,4.48
13448787,2.44
111214584,5.98
45618178,3.44
46861999,8.98
550652866,5.78
39340099,2.84
162355237,4.98
356986409,3.87
54989029,2.66
10535127,2.74
103380704,3.97
192979506,4.94
365750151,3.97
10535031,2.98
10309035,1.86
606784811,4.98
10308055,4.18
567016587,6.13
44981960,3.18
44981962,5.98
10450667,0.88
10450686,0.88
10450651,4.98
10450657,4.98
13908455,3.98
22210629,3.98
14862987,3.44
11028062,2.97
44662554,4.97
19406200,9.97
34334607,7.52
15556545,6.42
10448715,6.42
10448719,6.42
14053339,6.42
15556548,6.42
21677868,7
17689568,7
17689565,7
20709849,7
10449227,1.94
10449227,1.94
616237304,0.5
21555741,2.24
11964847,1.98
10313597,1.98
11964847,1.98
10292607,1.98
10313598,1.98
502524113,Out of Stock
11027259,5.94
140502634,0.75
10313168,1.88
21804014,2.86
10450329,2.98
45733436,Out of Stock
900644015,1.08
34218621,4.48
21096110,1.88
933625784,2.18
10450331,2.98
25124455,4.48
14122881,3.28
21096109,1.88
44691100,4.48
10293192,2.67
30959467,4.64
28644965,3.18
264084965,2.97
15610845,2.67
28645380,4.78
10293195,2.67
20897688,2.18
10292730,2.18
20897690,2.18
896644347,1.94
246761716,1.94
284100818,1
849101451,2.98
16504556,Out of Stock
10891757,3.68
10789593,3.68
10789583,3.68
10789584,3.68
10789568,1.94
10818639,1.94
759722026,1.94
54082903,3.97
51259301,2.47
39096464,0.83
463221476,2.88
246337796,1
10311619,1.94
151528591,2.96
10900112,2.98
10309354,1.98
10900111,2.98
164047382,3.98
548829283,1.98
10900110,2.98
12335104,1.98
49909674,2.98
835593418,0.92
31017819,3.5
22309171,2.28
192449451,1.34
22309172,2.28
10309358,2.76
10309358,2.76
23597924,3.28
15021157,2.47
19757985,4.24
10313164,1.74
10313164,1.74
10309357,2.28
15610880,1.98
466391088,8.94
24553274,16.37
530534816,12.84
14869670,2.24
15561344,1.74
128822499,2.14
10535480,3.44
117844924,4.98
32590745,5.67
10320859,2.12
524659395,1.57
14940709,4.48
14940709,4.48
45912953,1.78
15580511,7.98
14944716,1.58
15673702,2.08
833029622,1.58
24389690,Out of Stock
44000694,Out of Stock
835377368,2.56
15556067,5.58
15556068,3.24
10801133,1.84
21296187,2.28
481607513,1.5
10451751,2.83
16564862,4.72
10451751,2.83
552442322,4.22
257706381,Out of Stock
27419998,3.96
21291505,1.22
21291501,1.22
519060542,3.96
47737964,3.18
21961723,3.18
21961724,3.18
21961722,3.18
21961722,3.18
21961723,3.18
45595080,0.87
49028504,3.12
683838553,Out of Stock
16778168,1.24
16778167,Out of Stock
10320975,0.5
530341960,Out of Stock
54199504,Out of Stock
10291170,2.66
45743173,4.33
25460584,4.38
47183345,3.74
21291515,1.22
23591119,0.87
292066308,7.77
21291516,Out of Stock
10320962,2.38
47183344,3.74
741412782,Out of Stock
630381200,Out of Stock
277562383,Out of Stock
51254132,12.14
36073276,12.14
51254136,6.76
36073275,12.14
51254131,6.76
11027175,6.76
11027171,6.76
51254133,12.14
11027176,5.78
11027186,6.76
11027178,4.46
36029312,12.14
11027174,6.76
51254138,12.14
56078223,6.76
951505958,6.76
11027177,6.76
40547486,9.97
34926238,12.14
991314476,4.46
552728141,6.98
629306007,2.47
678609516,3.26
272563896,7.98
14971994,30.72
51409747,18.88
21982648,34.94
10898797,17.46
14053324,1.87
14053325,4
13920384,4
33606263,17.96
930104120,4.98
52796489,4.98
23658427,2.72
46491749,1.82
15556050,2.98
19856813,2.98
15556051,2.98
174237178,3.97
10316947,1.97
10316983,3.97
665607266,3.97
44390958,2.88
44390991,4.47
151762086,5.64
40711128,2.68
40711129,2.68
17179782,2.14
21556337,5.98
144500247,5.54
10535766,1.98
474023104,17.57
25490552,17.57
19416507,17.57
37792360,23.32
19416506,17.57
37792361,23.32
37306566,2.94
17341399,4.77
34526580,24.27
35452863,24.27
43848338,Out of Stock
492908146,4.58
10535150,3.24
10535148,3.24
10535153,3.24
10306750,2.08
14150167,3.28
54065317,1.88
10293835,2.24
10293834,1.28
10291381,2.48
10291376,2.48
14053192,4.78
14172101,3.28
980227501,1.74
10291381,2.48
923996533,3.52
225301474,4.98
50068000,6.99
10308264,1.98
39085868,3.78
10311382,1.12
105684157,3.84
10311488,1.86
20511489,1.07
20511496,1.07
20511485,1.07
20511484,1.07
20976626,1.98
337123827,2
10311313,1.78
